,Virginia,California,Florida,New York,Massachusetts,the District of Columbia,Colorado,New Jersey,Nevada,Washington,Texas,Indiana,Montana,Wisconsin,Oregon,Arizona,New Hampshire,North Carolina,Georgia,Hawaii,Vermont,Ohio,South Carolina,Minnesota,Missouri,Michigan,Illinois,Maryland,Idaho,Utah,Tennessee,Connecticut,Oklahoma,West Virginia,Pennsylvania,Mississippi,Nebraska,Iowa,Kansas,Rhode Island,South Dakota,Alaska,Louisiana,New Mexico,Delaware,Alabama,North Dakota,Arkansas,Wyoming,Maine,Kentucky
2001-09-01,129558.91112931502,229201.18733298697,117990.16718224481,142688.55355270425,235371.85792222185,175743.32474754678,208686.43649108763,180717.5754249775,168713.07583108722,180353.73792857816,105748.70722467394,97599.53688383132,,111073.69625750002,156767.55029478844,142217.49735735974,157849.70998722737,128977.579594881,129246.03993873148,192126.4284688997,100068.68253370957,106264.84980107006,111273.883049081,141790.9644545688,97568.2709940544,114080.45320828218,127667.35750281186,155831.13389580155,125539.34062647505,170974.6522770433,97701.86970275482,183991.18923847997,78047.94558216467,62840.532295802295,98436.94752406229,75031.56439530867,103590.29523786982,84295.57410260975,80717.5197224121,152441.87172301975,95893.81085661329,152178.41706761386,93922.11134031357,,149928.49075873045,84969.50301623308,,76024.7511799865,,113746.97266690293,88337.84560262528
2001-10-01,130525.29392242887,231228.69331653602,119068.06348696724,143771.4754887421,238500.17332303393,177877.50454852355,209981.561073087,182787.4271125235,169705.18767274066,181119.044388999,105893.17103797686,97896.82066014346,,111667.58435295249,157318.4062216269,142854.38500461032,159610.93799838406,129346.69795554421,129889.74522342964,193367.25831769174,100706.42108921753,106646.8277838769,111561.30361433672,143481.72803681064,98148.20821218022,114681.06255430292,128958.71209411626,156981.031018984,126011.1496922212,171231.65983475142,98009.4203570595,186073.6987221821,78319.89390308491,63055.96103466428,98899.52103926048,75405.1774632207,103805.32738096028,84668.55192424993,81071.63920571674,154698.9275549805,96080.52434122021,152937.7999817843,94290.15824904629,,150711.705160141,85241.95156557266,,76196.25834078279,,114635.17810184594,88621.56198865415
2001-11-01,131525.856220118,233131.78293301616,120102.31829924649,144908.1080705741,241573.25421023753,179915.36456162247,211032.64210429174,184680.42510601378,170632.4573818736,181792.63627247539,105999.96799463998,98123.17694320156,,112232.49386543622,157809.3216414986,143516.3161869001,161308.94523413177,129636.35445137764,130473.60421932908,194468.972032939,101464.12684243424,106992.56418090368,111862.07534339161,145091.79461361075,98766.68244017348,115227.16674069875,129945.17702013795,158107.3485506334,126311.11106304229,171421.39582687596,98260.62640630086,187893.6945800467,78543.37846204918,63188.58908829376,99369.22810636503,75685.3259432445,104017.03088292456,85029.88086183419,81415.07659338183,156717.62262397294,96303.17435683416,153809.54995940698,94642.3513021777,,151526.5986002706,85509.34085232102,,76316.80178830841,,115688.67953912867,88894.14705336203
2001-12-01,132476.11492471382,234909.30371323306,121117.01406125819,146118.67528944343,244466.01126347863,181982.77141784749,211857.09071029443,186386.3813998307,171592.74211978976,182616.59104106683,106087.2161924318,98431.09686563631,,112775.11254713223,158328.8015692851,144135.87598159965,162991.3217108357,129891.18446780693,131018.25225145959,195451.61113916527,102254.75489437103,107305.82627180136,112162.7841242831,146470.88063555118,99394.94220456702,115733.20432917919,130674.9625911647,159251.84984951475,126576.586922033,171510.31735058734,98450.9788921027,189402.4138543366,78741.90164529486,63282.75928032486,99813.46913426662,75906.67228297885,104248.10877163002,85400.77472153463,81768.06794897381,158687.49049634035,96452.85799312561,154795.94624363675,94953.00372600109,,152359.06307308565,85707.75292699928,,76387.72568701749,,116712.05681608303,89142.20348020452
2002-01-01,133368.01877536063,236344.47162007625,122033.54225941288,147316.21634532546,246818.02279711186,183965.23547717012,212323.84610867905,187982.87110725985,172459.87225025287,183313.77335867376,106119.119197082,98472.21757349106,,113288.19268462171,158827.12882631124,144654.27242638025,164670.71440693026,130105.33893798334,131482.295518014,196151.54053518455,103086.00092025175,107571.44944714544,112391.53118158597,147617.01791893228,99968.00919958005,116254.97092006094,131179.86758530056,160403.06113477462,126746.80990489984,171536.51813930811,98587.39514203843,190594.6092098758,78930.56797465053,63349.95898462221,100255.38366655575,76017.2876362286,104533.70565208986,85644.76246276508,82102.3691693555,160296.3453779135,96570.1771597237,155519.93226904407,95187.95249047487,,153208.83593362,85825.17476390449,,76446.49522730714,,117876.81211017047,89349.64744338668
2002-02-01,134250.61658960494,237813.31107442462,122881.2064587185,148403.2491451321,248833.11098621695,185954.44513806948,212742.92571708673,189627.45401307964,173223.5640765326,183993.4293420967,106200.49484883221,98455.72612210798,,113762.61559378688,159313.30737833687,145123.79123346027,166282.7061113595,130284.70212037604,131928.24578889643,197063.35242491332,103910.39310377515,107789.17314391288,112529.03753146502,148572.49255493487,100512.94051130877,116698.5639677759,131771.54706042516,161514.26182333808,126995.91413422306,171462.04483037454,98736.39875768816,191682.4076454217,79166.71529956865,63503.66088404405,100693.14664791916,76054.53193016766,104807.95413912,85806.91709925914,82378.12863182255,161958.7006490461,96978.90435073002,156099.35192907252,95453.15158296039,,154063.27624246085,85951.38493446268,,76542.31429787498,,119051.5096846195,89550.38807948962
2002-03-01,135174.3380396963,239534.2355246362,123709.75805538752,149323.7538346791,250886.79765325226,187782.89332316164,213343.32706191216,191307.47111447426,174064.50332874537,184589.42488767978,106399.83967847703,98289.78439684706,,114194.58482804878,159788.4014788919,145633.62415919141,167715.31448849148,130452.5376081586,132332.39792789015,198108.2189556039,104762.86969960005,107997.02292134454,112648.3149325514,149450.92116963142,100981.7664021544,117084.08036736224,132491.11291371082,162629.38703201394,127187.33550633944,171510.2573809193,98892.15040283889,192936.07733944847,79391.74631498846,63723.08422515452,101149.73082201673,76085.31711543047,105148.44123711101,85889.8770440834,82621.81659289551,163583.16946179446,97300.46006180307,156580.66808190141,95763.7025743859,,154974.9855884516,86057.28055071076,,76668.27161991659,,120294.3082604198,89732.9258302077
2002-04-01,136216.7019761348,241857.21668845686,124641.48274758032,150227.66199769184,253073.5904989871,189898.88023285638,214122.96546757888,192999.69381249076,175023.69112153232,185132.9234952871,106748.74939701647,98143.44670470928,,114608.04076266481,160279.35224420237,146199.73886018162,169237.89710365466,130560.49226631969,132762.6656261418,199445.6981805579,105580.291694714,108205.78408776705,112759.32474716615,150285.17180460395,101428.23444929073,117362.36896047974,133163.29228383445,163880.52731329223,127394.94993178149,171628.90133417083,99033.91763914334,194414.62768613952,79631.58321102128,63919.834154408796,101652.29042623226,76050.46887838324,105426.8917300109,86109.59386163791,82846.59283721338,165444.81502617092,97520.2358242905,157369.9376344801,96131.46530397276,125775.37721169122,155930.7014668912,86176.72398608644,,76837.04381854826,133324.4686863284,121576.25369168399,89916.14886515927
2002-05-01,137290.76050894632,244568.51362379105,125663.38411989149,151188.75327201711,255434.8040302872,192278.81963957893,215003.49633216416,194753.76585318966,176105.50597680185,185606.98391875054,107159.94048361723,98174.02378537269,,115044.97246161848,160900.84335877912,146774.2628931624,170699.85836313825,130730.32562550006,133201.8807421377,200621.725170368,106347.40803975973,108452.8972350069,112955.90887005394,151366.81964273148,101894.73102848999,117648.22929753193,133876.41487484265,165446.13601384827,127624.6654804679,171733.86442083583,99191.77753945223,196163.28745427952,79840.49162010408,64090.3507068229,102201.44068608269,76135.16327353867,105814.1284341842,86437.40344596044,82855.11065377477,167614.0891401169,97610.46537046315,158078.20710565386,96806.09124196257,125989.50712710843,156876.05528621344,86328.8768878663,,77064.14949227555,132133.95692032654,122799.45836704131,90087.08273618814
2002-06-01,138478.53403479236,247576.20929374686,126731.84148092788,152304.27926545238,257889.15783040668,194949.60702578723,215749.03788160064,196729.19254594206,177017.39680875884,186031.11164926775,107621.29096590246,98426.78205670061,,115520.28100354459,161643.63755236348,147421.41145329087,172334.65484055676,130910.03020781896,133652.3162338954,201917.06510069678,107096.91700241657,108730.21385306497,113166.59581501018,152477.3382713945,102432.8120879839,117968.27559794624,134580.2034773823,167239.5104858671,127963.45598745953,171828.53767282373,99371.77079394097,198159.10126835026,80052.68558235804,64255.115787994604,102806.00840045496,76281.21746650334,106122.22137309653,86864.28544728558,82797.53872440965,170025.64629051523,97922.05818368122,158650.5700962353,97444.23111314727,126084.89522549177,157882.9309855247,86518.36466687359,,77338.47164263082,131591.90474164407,124073.82409510831,90280.79200169776
